track_id,track_name_clean,artists_name_clean,artist_count,streams_clean,release_date,in_spotify_charts,in_apple_charts,in_deezer_charts,charts_total,in_spotify_playlists,in_apple_playlists,in_deezer_playlists,playlists_total,bpm,danceability__,acousticness__,energy__,instrumentalness__,speechiness__,liveness__,valence__,bpm_quartil,bpm_categorizada,danceability_quartil,danceability_categorizada,valence_quartil,valence_categorizada,energy_quartil,energy_categorizada,acousticness_quartil,acousticness_categorizada,instrumentalness_quartil,instrumentalness_categorizada,liveness_quartil,liveness_categorizada,speechiness_quartil,speechiness_categorizada,amount_of_tracks,total_streams
8666108,angel pt 1 feat jimin of bts jvke muni long ,kodak black nle choppa muni long jvke jimin,5,133753727,2023-05-01,14,18,1,33,577,22,15,614,74,53,11,67,0,28,10,24,1,Baixo,1,Baixo,1,Baixo,3,Baixo,2,Baixo,1,Baixo,2,Baixo,4,Alto,0,0
5586506,la bebe remix,peso pluma yng lvcas,2,553634067,2023-03-17,44,110,13,167,2953,49,66,3068,170,81,21,48,0,33,8,56,4,Alto,4,Alto,3,Baixo,1,Baixo,3,Baixo,4,Alto,1,Baixo,4,Alto,0,0
5565096,la loto,anitta tini becky g,3,121189256,2022-07-06,0,3,0,3,945,49,57,1051,90,85,10,83,0,11,8,80,1,Baixo,4,Alto,4,Alto,4,Alto,2,Baixo,2,Baixo,1,Baixo,4,Alto,0,0
8174233,broke boys,drake 21 savage,2,106249219,2022-11-04,0,8,0,8,1060,3,5,1068,120,64,1,53,0,27,25,11,2,Baixo,2,Baixo,1,Baixo,1,Baixo,1,Baixo,1,Baixo,4,Alto,4,Alto,0,0
1589586,gol bolinha gol quadrado 2,mc pedrinho dj 900,2,11956641,2023-06-01,8,2,2,12,293,5,30,328,133,93,42,65,0,25,12,68,3,Baixo,4,Alto,3,Baixo,2,Baixo,3,Baixo,1,Baixo,2,Baixo,4,Alto,0,0
8164697,tubar o te,dj lk da esc cia tchakabum mc jhenny m,4,116144341,2022-09-28,0,0,0,0,1003,21,44,1068,130,89,30,74,0,36,7,48,3,Baixo,4,Alto,2,Baixo,3,Baixo,3,Baixo,2,Baixo,1,Baixo,4,Alto,0,0
5554493,danger spider offset jid ,offset jid,2,24975653,2023-06-02,0,3,0,3,214,3,6,223,143,83,4,69,0,12,23,25,4,Alto,4,Alto,1,Baixo,3,Baixo,1,Baixo,4,Alto,3,Baixo,4,Alto,0,0
5406019,family ties with kendrick lamar ,kendrick lamar baby keem,2,560222750,2021-08-27,5,15,0,20,6308,114,63,6485,134,71,1,61,0,33,23,14,3,Baixo,3,Baixo,1,Baixo,2,Baixo,1,Baixo,4,Alto,3,Baixo,4,Alto,0,0
3833877,ultra solo,polima westcoast pailita,2,307752576,2022-02-14,0,4,1,5,1367,48,34,1449,110,80,23,85,0,21,11,26,2,Baixo,4,Alto,1,Baixo,4,Alto,3,Baixo,4,Alto,2,Baixo,4,Alto,0,0
6577689,sentadona remix s2,lu sa sonza mc frog dj gabriel do borel davi k,4,176290831,2022-03-17,0,0,0,0,870,32,49,951,135,93,25,45,0,27,13,77,3,Baixo,4,Alto,4,Alto,1,Baixo,3,Baixo,4,Alto,3,Baixo,4,Alto,0,0
7654973,bamba feat aitch bia ,luciano aitch b ,3,146223492,2022-09-22,7,12,2,21,869,14,12,895,138,80,14,81,0,36,13,82,3,Baixo,4,Alto,4,Alto,4,Alto,2,Baixo,1,Baixo,3,Baixo,4,Alto,0,0
5974857,major distribution,drake 21 savage,2,154863153,2022-11-04,0,7,0,7,1545,22,15,1582,131,91,1,55,0,32,7,23,3,Baixo,4,Alto,1,Baixo,2,Baixo,1,Baixo,1,Baixo,1,Baixo,4,Alto,0,0
3612400,no lie,sean paul dua lipa,2,956865266,2016-11-18,0,127,0,127,7370,92,1219,8681,102,74,5,89,0,13,26,45,2,Baixo,3,Baixo,2,Baixo,4,Alto,1,Baixo,4,Alto,4,Alto,4,Alto,0,0
7996425,arc ngel bzrp music sessions vol,arcangel bizarrap,2,100409613,2023-03-22,3,3,1,7,654,11,18,683,124,72,55,78,0,30,15,79,3,Baixo,3,Baixo,4,Alto,4,Alto,4,Alto,2,Baixo,3,Baixo,4,Alto,0,0
